AUC: 0.354167, CE: 0.695172 + 0.001086, CEpre: 0.733120 + 0.019198, time 38.73
AUC: 0.729167, CE: 0.617376 + 0.054205, CEpre: 0.640544 + 0.023864, time 549.40
AUC: 0.291667, CE: 0.694261 + 0.000422, CEpre: 0.716068 + 0.008171, time 683.75
AUC: 0.729167, CE: 0.598748 + 0.058372, CEpre: 0.603865 + 0.044332, time 811.48
AUC: 0.338542, CE: 0.697820 + 0.001635, CEpre: 0.784981 + 0.027760, time 825.41
AUC: 0.468750, CE: 0.694439 + 0.005101, CEpre: 0.733529 + 0.037621, time 901.01
AUC: 0.272569, CE: 0.694623 + 0.000523, CEpre: 0.723345 + 0.010019, time 904.26
AUC: 0.387153, CE: 0.695211 + 0.002840, CEpre: 0.736421 + 0.027247, time 948.07
AUC: 0.270833, CE: 0.695459 + 0.000733, CEpre: 0.739990 + 0.013689, time 957.85
AUC: 0.752604, CE: 0.588005 + 0.058991, CEpre: 0.601689 + 0.037412, time 1082.55
AUC: 0.361111, CE: 0.696073 + 0.002976, CEpre: 0.751613 + 0.036576, time 1096.78
AUC: 0.256076, CE: 0.695907 + 0.000989, CEpre: 0.748294 + 0.017833, time 1099.43
AUC: 0.413194, CE: 0.692901 + 0.006450, CEpre: 0.718448 + 0.030131, time 1197.60
AUC: 0.381944, CE: 0.695460 + 0.005424, CEpre: 0.751239 + 0.045247, time 1238.83
AUC: 0.385417, CE: 0.691034 + 0.008918, CEpre: 0.701508 + 0.025043, time 1244.35
AUC: 0.729167, CE: 0.625564 + 0.051717, CEpre: 0.646723 + 0.022409, time 1264.25
AUC: 0.379340, CE: 0.693807 + 0.001043, CEpre: 0.705796 + 0.013628, time 1271.04
AUC: 0.348958, CE: 0.694401 + 0.002091, CEpre: 0.717891 + 0.022980, time 1400.92
AUC: 0.666667, CE: 0.693088 + 0.000024, CEpre: 0.693147 + 0.000000, time 1469.28
AUC: 0.373264, CE: 0.684255 + 0.018606, CEpre: 0.707189 + 0.051778, time 1569.15
AUC: 0.729167, CE: 0.596332 + 0.058894, CEpre: 0.596354 + 0.057952, time 2080.12
AUC: 0.826389, CE: 0.478803 + 0.061275, CEpre: 0.494477 + 0.046657, time 2215.93
AUC: 0.796875, CE: 0.528430 + 0.066648, CEpre: 0.538452 + 0.049406, time 2285.79
AUC: 0.829861, CE: 0.487815 + 0.064322, CEpre: 0.490397 + 0.072630, time 2447.52
AUC: 0.644097, CE: 0.654636 + 0.035885, CEpre: 0.654717 + 0.034246, time 2464.31
